,년도,이름,팀,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,연봉
1175,2019,조이현,SK 와이번즈,-0.06,7,0,0,1,0,0,0,0,12.1,12,11,57,19,2,0,3,4,0,0,8,0,0,0
1176,2019,조근종,기아 타이거즈,-0.06,10,0,0,0,0,0,0,1,10.2,7,7,53,15,2,0,1,5,1,2,6,0,0,0
1177,2019,장원준,두산 베어스,-0.08,6,0,0,0,0,0,0,0,2.0,2,2,14,5,1,0,0,3,0,1,1,0,0,0
1178,2019,김태오,기아 타이거즈,-0.08,4,0,0,0,0,0,0,0,3.0,3,2,21,7,0,0,0,3,0,1,0,1,0,0
1179,2019,김종수,한화 이글스,-0.08,35,0,0,0,2,0,0,0,31.0,21,20,148,30,4,0,4,33,0,1,28,0,2,0
1180,2019,홍성무,NC 다이노스,-0.09,15,0,0,0,0,0,0,0,14.1,10,10,71,16,3,0,3,11,0,1,10,0,0,0
1181,2019,정태승,롯데 자이언츠,-0.09,1,0,0,0,0,0,0,0,1.0,3,3,6,2,1,0,0,1,0,0,2,0,1,0
1182,2019,송명기,NC 다이노스,-0.1,2,0,0,1,0,0,0,0,3.0,3,3,14,4,0,0,1,2,0,0,1,0,0,0
1183,2019,윤규진,한화 이글스,-0.1,3,0,0,0,0,0,0,0,4.1,5,5,20,6,2,1,0,1,0,0,1,0,0,0
1184,2019,최영환,롯데 자이언츠,-0.1,15,0,0,0,0,0,0,0,19.0,15,14,85,20,7,0,1,9,0,1,19,1,3,0
1185,2019,김기훈,기아 타이거즈,-0.12,19,0,0,16,3,6,0,0,79.1,55,49,368,64,15,2,11,65,0,9,49,0,5,0
1186,2019,김택형,SK 와이번즈,-0.15,26,0,0,0,2,1,0,2,23.1,16,15,115,20,4,0,1,24,0,2,27,0,6,0
1187,2019,정인욱,삼성 라이온즈,-0.15,12,0,0,2,0,2,0,0,21.2,17,17,106,24,9,0,1,15,0,2,15,0,3,0
1188,2019,송창식,한화 이글스,-0.16,1,0,0,0,0,0,0,0,0.1,2,2,4,3,1,0,0,0,0,0,1,0,0,0
1189,2019,이상영,LG 트윈스,-0.16,3,0,0,0,0,0,0,0,2.2,5,5,16,9,2,0,1,0,0,1,1,0,0,0
1190,2019,이충호,한화 이글스,-0.16,1,0,0,0,0,0,0,0,1.0,5,5,10,6,3,0,1,1,0,0,0,0,1,0
1191,2019,박주성,키움 히어로즈,-0.17,4,0,0,0,0,0,0,0,4.0,6,6,25,7,1,0,1,6,0,0,1,0,1,0
1192,2019,최동환,LG 트윈스,-0.18,18,0,0,0,1,0,0,0,23.0,17,17,107,25,7,0,4,11,0,2,13,0,1,0
1193,2019,이우석,NC 다이노스,-0.18,6,0,0,0,0,0,0,1,5.1,6,6,26,7,2,0,0,5,0,0,4,0,0,0
1194,2019,유원상,NC 다이노스,-0.18,15,0,0,1,0,3,1,0,20.2,15,12,93,21,5,1,2,9,0,1,14,0,1,0
1195,2019,민성기,NC 다이노스,-0.18,7,0,0,0,0,0,0,0,5.1,7,7,29,12,2,0,1,1,0,0,6,0,0,0
1196,2019,유승철,기아 타이거즈,-0.19,3,0,0,0,0,0,0,0,4.0,5,5,20,4,0,0,2,2,0,2,5,0,0,6000
1197,2019,이민우,기아 타이거즈,-0.19,32,0,0,6,2,6,1,2,61.1,42,37,283,74,11,2,4,26,1,4,56,0,3,0
1198,2019,박정수,기아 타이거즈,-0.2,3,0,0,0,0,0,0,0,5.0,7,7,27,10,2,0,0,4,0,1,2,0,0,0
1199,2019,전용주,기아 타이거즈,-0.2,4,0,0,0,0,0,0,0,3.0,6,5,21,6,1,0,1,6,0,0,1,0,1,0
1200,2019,윤형배,한화 이글스,-0.2,3,0,0,0,0,0,0,0,3.2,7,7,22,8,1,0,1,3,0,0,2,0,0,0
1201,2019,윤강민,NC 다이노스,-0.2,5,0,0,1,0,1,0,0,7.2,8,7,42,12,1,0,1,6,0,2,5,0,0,0
1202,2019,정재원,SK 와이번즈,-0.21,4,0,0,0,0,0,0,0,2.2,5,5,16,6,0,0,1,0,0,1,1,0,0,4000
1203,2019,권혁,두산 베어스,-0.21,57,0,0,0,2,2,1,11,36.2,23,20,155,36,7,0,3,7,0,2,21,0,0,0
1204,2019,홍정우,삼성 라이온즈,-0.21,7,0,0,0,0,0,0,0,5.1,8,6,34,10,2,1,2,4,0,1,2,0,0,0
1205,2019,손동현,기아 타이거즈,-0.21,34,0,0,3,2,3,0,5,47.1,29,25,220,51,7,0,2,31,3,0,29,1,0,0
1206,2019,박정준,두산 베어스,-0.21,2,0,0,0,0,0,0,0,1.2,6,6,13,3,1,0,0,5,0,0,0,0,0,0
1207,2019,금민철,기아 타이거즈,-0.22,14,0,0,14,1,4,0,0,57.0,38,32,263,66,7,1,5,25,0,7,26,0,4,0
1208,2019,채병용,SK 와이번즈,-0.23,4,0,0,0,0,0,1,1,3.2,4,4,21,7,2,0,1,3,0,1,3,0,0,18000
1209,2019,장지수,기아 타이거즈,-0.23,13,0,0,0,0,0,0,0,16.1,16,14,80,23,2,1,2,7,0,2,6,1,1,0
1210,2019,윤성빈,롯데 자이언츠,-0.23,1,0,0,1,0,1,0,0,0.1,3,3,4,0,0,0,0,3,0,0,0,0,1,0
1211,2019,조영건,키움 히어로즈,-0.24,1,0,0,1,0,1,0,0,0.1,3,3,7,3,0,0,0,3,0,0,1,0,0,0
1212,2019,김세현,기아 타이거즈,-0.24,10,0,0,0,0,2,0,0,8.2,8,6,48,11,4,0,0,9,1,2,5,0,0,0
1213,2019,노건우,NC 다이노스,-0.26,5,0,0,0,0,0,0,0,3.2,5,5,21,8,3,0,1,1,0,0,1,0,1,0
1214,2019,서균,한화 이글스,-0.27,7,0,0,0,0,0,0,0,4.1,8,7,27,10,4,0,0,3,0,0,3,0,0,0
1215,2019,이원준,SK 와이번즈,-0.28,2,0,0,1,0,1,0,0,2.1,5,5,14,3,0,0,1,4,0,0,2,0,0,0
1216,2019,김범수,한화 이글스,-0.29,45,0,0,16,5,9,1,1,103.0,70,65,485,115,19,3,15,61,1,10,85,0,9,0
1217,2019,김승현,삼성 라이온즈,-0.29,14,0,0,0,1,1,0,0,12.2,12,9,61,11,2,0,0,9,0,1,4,0,1,5500
1218,2019,김윤동,기아 타이거즈,-0.29,11,0,0,0,1,2,4,0,11.0,8,8,55,12,1,1,1,11,2,0,12,0,1,0
1219,2019,양지율,키움 히어로즈,-0.29,4,0,0,0,0,0,0,0,5.1,10,9,30,12,2,0,0,1,0,0,3,0,1,0
1220,2019,장원삼,LG 트윈스,-0.32,8,0,0,3,0,2,0,0,14.2,13,13,68,20,4,0,3,3,0,2,7,0,0,0
1221,2019,최하늘,롯데 자이언츠,-0.34,2,0,0,1,0,1,0,0,2.0,6,6,13,4,0,0,2,2,0,1,1,0,0,0
1222,2019,배재준,LG 트윈스,-0.34,19,0,0,12,3,4,0,0,62.0,42,36,282,61,17,1,3,33,0,8,44,0,3,0
1223,2019,류희운,기아 타이거즈,-0.35,1,0,0,1,0,1,0,0,2.1,6,6,17,8,2,0,0,2,0,0,1,0,2,0
1224,2019,이준영,기아 타이거즈,-0.36,37,0,0,1,1,0,0,1,51.0,42,36,244,64,7,2,3,26,2,2,43,1,0,0
1225,2019,송은범,LG 트윈스,-0.36,63,0,0,0,2,6,1,9,60.0,38,35,281,80,5,2,6,23,4,3,36,0,3,0
1226,2019,김원중,롯데 자이언츠,-0.36,28,0,0,17,5,10,0,1,102.1,75,65,485,127,21,1,13,47,1,6,93,0,6,0
1227,2019,이승진,SK 와이번즈,-0.37,17,0,0,2,0,0,0,1,19.0,17,17,89,21,1,1,3,12,0,1,14,0,2,0
1228,2019,이정현,기아 타이거즈,-0.37,9,0,0,2,0,2,0,0,12.0,13,13,55,12,4,0,3,8,0,0,9,0,0,0
1229,2019,이태양,한화 이글스,-0.39,55,0,0,1,1,6,0,10,66.2,44,43,283,74,11,2,8,13,0,3,64,0,4,0
1230,2019,이상동,기아 타이거즈,-0.39,6,0,0,0,0,0,0,0,6.1,10,10,30,10,4,0,2,2,0,1,0,0,0,0
1231,2019,이승헌,롯데 자이언츠,-0.4,1,0,0,1,0,1,0,0,2.0,7,7,16,7,5,1,0,3,0,1,0,0,0,0
1232,2019,강찬영,기아 타이거즈,-0.41,3,0,0,3,0,2,0,0,9.0,11,11,53,14,4,0,1,9,1,2,3,0,0,0
1233,2019,김재영,한화 이글스,-0.51,5,0,0,1,0,0,0,0,8.1,12,12,41,14,4,0,1,3,0,2,4,0,0,7100
1234,2019,터너,기아 타이거즈,-0.53,28,1,0,28,7,13,0,0,153.1,107,94,714,179,34,3,12,58,0,17,121,0,14,70000
1235,2019,신정락,한화 이글스,-0.57,44,0,0,1,5,1,0,5,44.2,33,29,207,48,8,0,6,21,0,6,35,0,4,0
1236,2019,이인복,롯데 자이언츠,-0.64,11,0,0,0,0,0,0,0,12.1,18,16,74,29,2,1,2,8,0,0,7,0,0,0
1237,2019,박정배,SK 와이번즈,-0.66,20,0,0,0,1,1,0,1,19.2,22,22,90,29,10,0,4,2,0,2,9,0,0,0
1238,2019,양승철,기아 타이거즈,-0.67,11,0,0,1,1,1,0,0,16.1,22,22,85,23,10,1,3,15,0,0,11,0,2,0
1239,2019,정성곤,기아 타이거즈,-0.73,52,0,0,0,3,3,8,11,53.2,36,33,248,64,16,2,7,22,3,2,40,0,2,0
1240,2019,엄상백,기아 타이거즈,-0.74,26,0,0,0,2,3,0,0,31.1,29,28,154,40,6,0,6,24,0,0,20,0,1,0
1241,2019,이보근,키움 히어로즈,-0.74,19,0,0,0,0,2,0,3,16.2,18,18,80,29,3,2,1,4,0,0,12,0,0,0
1242,2019,윤길현,롯데 자이언츠,-0.78,6,0,0,0,1,1,0,0,5.0,14,6,39,17,4,0,2,4,1,2,5,0,2,50000
1243,2019,구승민,롯데 자이언츠,-0.83,41,0,0,0,1,4,2,6,36.0,29,25,180,45,5,0,5,21,6,3,43,0,7,0
