매장이름,lat,lng,주소,구
명동중앙점,37.5647312946952,126.983858910559,"서울 중구 명동7길 21 (을지로2가, 명동아르누보센텀)",중구
서소문점,37.5632737727618,126.973094520683,서울 중구 서소문로11길 8 (서소문동),중구
서울시청점,37.5671518187227,126.978729588014,"서울 중구 세종대로20길 23 (무교동, 원창빌딩)",중구
신당점,37.5635523,127.0148174,서울 중구 다산로35길 11 (신당동),중구
신당중앙점,37.475496,126.9812655,서울 중구 퇴계로 455 (황학동),중구
약수역점,37.5575087,127.0119799,서울 중구 동호로 186-13 (신당동),중구
오장동점,37.5647193,127.000811,서울 중구 마른내로 109-1 (오장동),중구
을지로3가점,37.5653685,126.9896351,서울 중구 수표로 45 (저동2가),중구
정동점,37.5679789,126.9693037,서울 중구 정동길 2-1 (정동),중구
중림점,37.5607773,126.9682129,서울 중구 청파로 464 (중림동),중구
청구역점,37.5597511,127.0132283,서울 중구 다산로 181-2 (신당동),중구
충무로3가점,37.5625582,126.9912391,서울 중구 퇴계로27길 31 (충무로3가),중구
충무로점,37.5607964,126.992541,서울 중구 퇴계로 188 (필동1가),중구
충무아트홀점,37.5652402,127.0139856,서울 중구 퇴계로 381-1 (신당동),중구
충무필동점,37.5583601,126.9942769,서울 중구 퇴계로 218-5 (필동2가),중구
태평로점,37.5623140006705,126.974582779311,서울 중구 세종대로11길 26 (서소문동),중구
퇴계로2길점,37.55756848236245,126.97740146915775,서울 중구 퇴계로2길 1 (남창동),중구
황학롯데캐슬점,37.5708733,127.0213284,"서울 중구 청계천로 400 (황학동, 롯데캐슬베네치아)",중구
회현SK리더스점,37.5590809,126.9805937,"서울 중구 퇴계로 72 (회현동1가, 리더스뷰남산)",중구
강동고덕교차로점,37.5574052401914,127.172575598882,"서울 강동구 고덕로 421 (강일동, 대한연세요양원)",강동구
강동구청점,37.5289686,127.1222046,"서울 강동구 성내로6길 20 (성내동, 청일 베르네)",강동구
강동성내점,37.530525580177894,127.12985994805354,서울 강동구 풍성로 162 (성내동),강동구
강동신명초교점,37.5411339937801,127.147402025244,"서울 강동구 명일로 260 (길동, 길동신동아아파트)",강동구
강동역점,37.5504483,127.1470117,"서울 강동구 천호대로 1065 (천호동, 강동상떼빌)",강동구
강일점,37.565355270810386,127.17410624484566,"서울 강동구 아리수로93길 19 (강일동, 임페리얼타워)",강동구
고덕그라시움후문점,37.56039666265223,127.16370018873648,서울 강동구 동남로82길 121 (고덕동),강동구
고덕점,37.55413723208973,127.15518054387726,"서울 강동구 동남로75길 19 (명일동, 명일빌딩)",강동구
길동사거리점,37.5347082,127.1372605,서울 강동구 천호대로 1132 (성내동),강동구
길동역점,37.5372792,127.1393753,서울 강동구 양재대로 1471 (길동),강동구
길동중앙점,37.5376246,127.1402323,서울 강동구 명일로 200 (길동),강동구
둔촌점,37.5282539,127.1447139,서울 강동구 양재대로 1377 (성내동),강동구
명일역점,37.550410338798194,127.14556505383719,"서울 강동구 구천면로 424 (명일동, 명일메가타운)",강동구
명일중앙점,37.5462992589271,127.145789262651,"서울 강동구 상암로 210 (명일동, 명일현대종합상가)",강동구
보훈병원점,37.5287781,127.1431444,"서울 강동구 명일로 110 (둔촌동, 둔촌동암펠로스타워)",강동구
상일리엔파크점,37.55139001231505,127.17398322022565,"서울 강동구 상일로 74 (상일동, 고덕리엔파크3단지아파트)",강동구
