,주유소명,주소,브랜드,휘발유 가격,경유 가격,셀프 여부,세차장 여부,충전소 여부,경정비 여부,편의점 여부,24시간 운영 여부,구,위도,경도
198,서초하이웨이 주유소,서울 서초구 양재대로2길 100-30,S-OIL,1597,1457,Y,Y,N,N,N,Y,서초구,37.4572952,127.0162141
199,극동유화(주) 전당앞주유소,서울 서초구 남부순환로 2391 (서초동),S-OIL,1615,1515,Y,Y,Y,Y,N,N,서초구,37.4805543,127.0118209
200,태봉셀프주유소,서울 서초구 태봉로 117 (우면동),SK에너지,1615,1497,Y,Y,N,Y,N,N,서초구,37.4682757,127.028177
201,(주)대농석유 남태령주유소,서울 서초구 과천대로 838 (방배동),SK에너지,1615,1465,Y,Y,N,N,N,N,서초구,37.4668958,126.9878319
202,대성석유(주)연일주유소,서울 서초구 남부순환로 2451,GS칼텍스,1616,1519,N,Y,N,N,Y,N,서초구,37.4825868,127.0185128
203,신반포주유소,서울 서초구 사평대로 94 (반포동),SK에너지,1616,1526,Y,Y,N,N,N,Y,서초구,37.498395,126.9948073
204,에쓰오일(주)직영 오토테크주유소,서울특별시 서초구  효령로 356 (서초동),S-OIL,1619,1519,Y,Y,N,Y,N,N,서초구,37.4864808,127.0228591
205,HD현대오일뱅크㈜직영 사평로주유소,서울 서초구 사평대로 350 (서초동),HD현대오일뱅크,1623,1537,N,Y,N,N,N,N,서초구,37.5033026,127.0215211
206,양재주유소,서울 서초구 바우뫼로 178,SK에너지,1624,1549,N,Y,N,N,N,Y,서초구,37.47808850000001,127.0395922
207,에너지플러스허브 삼방주유소,서울 서초구 사평대로 364 (서초동),GS칼텍스,1628,1574,Y,Y,N,N,N,Y,서초구,37.5037123,127.0230958
208,반포그린주유소,서울 서초구 서초중앙로 239 (반포동),GS칼텍스,1628,1574,Y,Y,N,N,N,N,서초구,37.5032325,127.0108559
209,지에스칼텍스(주)선천주유소,서울 서초구 동작대로 206 (방배동),GS칼텍스,1634,1523,N,Y,N,N,N,N,서초구,37.4949425,126.9832056
210,HD현대오일뱅크㈜직영 팔레스주유소,서울 서초구 사평대로 136 (반포동),HD현대오일뱅크,1637,1547,N,N,N,N,N,Y,서초구,37.50013939999999,126.9991833
211,HD현대오일뱅크㈜직영 양재현대주유소,서울 서초구 마방로 6,HD현대오일뱅크,1639,1569,N,Y,N,N,N,N,서초구,37.4735721,127.0397039
212,지에스칼텍스(주)남서울주유소,서울 서초구 나루터로 83 (잠원동),GS칼텍스,1644,1604,N,Y,N,N,Y,Y,서초구,37.5161567,127.0189145
213,HD현대오일뱅크㈜직영 서초제일주유소,서울 서초구 사임당로 116 (서초동),HD현대오일뱅크,1649,1584,N,Y,N,N,N,N,서초구,37.4905573,127.0226052
214,HD현대오일뱅크㈜직영 방배현대주유소,서울 서초구 동작대로 182 (방배동),HD현대오일뱅크,1669,1563,N,Y,N,Y,N,N,서초구,37.4928547,126.9831829
215,대신석유(주)대우주유소,서울 서초구 양재대로 173 (양재동),SK에너지,1679,1517,Y,Y,N,N,Y,Y,서초구,37.4628309,127.0375576
216,대성산업(주)직영 터미널(고속)주유소,서울 서초구 신반포로 222 (반포동),GS칼텍스,1699,1589,N,Y,N,N,N,Y,서초구,37.5067688,127.0088214
217,방배동주유소,서울 서초구 효령로 29 (방배동),SK에너지,1793,1696,N,Y,N,N,N,N,서초구,37.4781026,126.9877681
218,대신석유㈜서원주유소,서울 서초구 반포대로 142 (서초동),SK에너지,1958,1858,N,Y,N,N,N,N,서초구,37.4928016,127.0075873
219,(주)선문에너지 중앙주유소,서울특별시 서초구  바우뫼로 219 (양재1동),S-OIL,1989,1958,N,Y,N,N,N,N,서초구,37.4815514,127.0422343
220,(주)서울에너지 직영,서울 성동구 천호대로 324 (용답동),S-OIL,1585,1395,Y,Y,N,N,N,Y,성동구,37.56426070000001,127.055685
221,HD현대오일뱅크㈜직영 성동셀프주유소,서울 성동구 마장로 311 (마장동),HD현대오일뱅크,1585,1405,Y,Y,N,N,N,N,성동구,37.5670144,127.0437272
222,지에스칼텍스㈜ 도루코주유소,서울 성동구 아차산로 180,GS칼텍스,1599,1429,Y,Y,N,Y,N,Y,성동구,37.5420525,127.0634301
223,HD현대오일뱅크㈜직영 효진주유소,서울 성동구 동일로 129,HD현대오일뱅크,1627,1479,N,Y,N,N,N,N,성동구,37.54407130000001,127.0647101
224,SK에너지(주) 군자동주유소,서울 성동구 천호대로 446 (용답동),SK에너지,1655,1485,N,Y,N,N,N,Y,성동구,37.56055500000001,127.0683433
225,삼우주유소,서울 성동구 천호대로 392,SK에너지,1693,1515,N,Y,N,N,N,N,성동구,37.5614303,127.0623272
226,SK KH에너지 성수만세주유소,서울 성동구 왕십리로 109,SK에너지,1718,1618,Y,Y,N,Y,Y,N,성동구,37.5475346,127.0442557
227,SK에너지(주) 성수주유소,서울 성동구 뚝섬로 352 (성수동1가),SK에너지,1734,1634,N,Y,N,N,N,N,성동구,37.5399634,127.049938
228,SK세원2주유소,서울 성동구 광나루로 184 (성수동1가),SK에너지,1750,1625,N,Y,N,Y,N,N,성동구,37.5509095,127.0505002
229,동일주유소,서울 성동구 광나루로 254 (성수동2가),HD현대오일뱅크,1933,1743,N,Y,N,N,N,N,성동구,37.548454,127.0578468
230,청계로주유소,서울 성동구 청계천로 454 (하왕십리동),SK에너지,1998,1897,N,Y,N,N,N,N,성동구,37.5700973,127.0274044
231,이케이에너지(주) 강산제2주유소,서울 성북구 보국문로 52,HD현대오일뱅크,1559,1379,Y,Y,N,N,N,N,성북구,37.609185,127.0100314
232,(주)삼표에너지 정릉주유소,서울 성북구 보국문로 35 (정릉동),GS칼텍스,1559,1379,Y,Y,N,Y,N,N,성북구,37.6076426,127.0099487
233,장삼 쌍둥이 주유소,서울 성북구 한천로 612 (장위동),HD현대오일뱅크,1565,1375,Y,Y,N,N,Y,N,성북구,37.6136043,127.0602993
234,지에스칼텍스(주) 종암주유소,서울 성북구 종암로 145 (종암동),GS칼텍스,1570,1390,Y,Y,N,N,N,Y,성북구,37.6027636,127.0320634
235,(주)성북주유소,서울 성북구 보문로 142,HD현대오일뱅크,1579,1399,Y,Y,N,N,N,N,성북구,37.58757749999999,127.018447
236,이케이에너지㈜ 강산주유소,서울 성북구 보문로 27 (보문동7가),GS칼텍스,1579,1399,Y,Y,N,N,N,Y,성북구,37.5797789,127.0223627
237,우리주유소,서울 성북구 화랑로 292,SK에너지,1584,1395,Y,Y,N,Y,N,Y,성북구,37.6126118,127.0614248
238,HD현대오일뱅크㈜직영 고대셀프주유소,서울 성북구 종암로 12 (종암동),HD현대오일뱅크,1585,1415,Y,Y,N,N,N,N,성북구,37.5916521,127.0366717
239,HD현대오일뱅크㈜직영 북악셀프주유소,서울 성북구 정릉로 218 (정릉동),HD현대오일뱅크,1589,1405,Y,Y,N,N,N,N,성북구,37.6055001,127.0085818
240,중앙에너비스 종암지점,서울 성북구 종암로 58,SK에너지,1595,1395,Y,Y,N,N,N,Y,성북구,37.5956086,127.0360473
241,㈜명연에너지 효성주유소,서울 성북구 화랑로 27,GS칼텍스,1595,1485,Y,Y,N,Y,N,Y,성북구,37.6031281,127.0351726
242,장위주유소,서울 성북구 화랑로 110 (하월곡동),S-OIL,1605,1415,Y,Y,N,N,N,Y,성북구,37.6046451,127.0393912
243,동일주유소,서울특별시 성북구  보문로 85 (보문동5가),S-OIL,1605,1495,Y,Y,N,N,N,Y,성북구,37.58270419999999,127.0191918
244,(주)신용 구도일주유소화랑로,서울 성북구 화랑로 174,S-OIL,1613,1423,Y,Y,N,Y,N,N,성북구,37.6068678,127.0500641
245,HD현대오일뱅크㈜직영 아리랑주유소,서울 성북구 아리랑로 96 (정릉동),HD현대오일뱅크,1627,1495,N,Y,N,N,N,N,성북구,37.600488,127.0142664
246,삼선주유소,서울 성북구 창경궁로 324,S-OIL,1695,1455,Y,Y,N,N,N,N,성북구,37.5879888,127.005574
247,위례드림주유소,서울시 송파구  위례중앙로 10,S-OIL,1563,1454,Y,Y,N,N,N,Y,송파구,37.4754274,127.1284707
248,지에스칼텍스(주)가든파이브주유소,서울 송파구 탄천동로 740,GS칼텍스,1563,1454,Y,Y,N,N,Y,Y,송파구,37.4972962,127.0892473
